acceleration,position,velocity,
2.5,0,0,
1.4705563909589217,0.0005882225563835687,0.029411127819178432,
2.9404835653471095,0.0023526385389059812,0.08822079912612062,
2.9385989333062823,0.005292494094750907,0.14699277779224626,
2.935467921386893,0.00940653681915059,0.20570213621998412,
2.9311055309845373,0.014693021755944087,0.26432424683967487,
2.925532642578446,0.021149719749768963,0.3228348996912438,
2.9187758951463,0.028773928101652357,0.3812104175941698,
2.9108675318136212,0.037562483466261204,0.4394277682304422,
2.9018452130607413,0.047511776916094345,0.49746467249165705,
2.8917517977758322,0.05861777108503782,0.5552997084471737,
2.880635093675199,0.07087601929145138,0.6129124103206777,
2.8685475779747724,0.08428168652905484,0.6702833618801731,
2.8555460894957694,0.09882957220245661,0.7273942836700885,
2.841691493795795,0.1145141344733767,0.7842281135460044,
2.827048322246256,0.1313295160731953,0.8407690799909295,
2.8116843866614283,0.14926957142767844,0.8970027677241581,
2.7956703704927253,0.16832789493035868,0.9529161751340126,
2.7790793976115222,0.18849785019208354,1.008497763086243,
2.7619865795417753,0.2097726000856251,1.0637374946770786,
2.7444685415814796,0.23214513739579926,1.1186268655087082,
2.7266029278414927,0.25560831587711,1.173158924065538,
2.7084678849485067,0.2801548815124002,1.2273282817645081,
2.690141523481704,0.30577750375708307,1.2811311122341422,
2.6717013557953084,0.33246880654408406,1.3345651393500484,
2.6532237082585564,0.36022139881438847,1.3876296135152195,
2.6347831057183746,0.3890279043269802,1.440325275629587,
2.6164516253083026,0.41888099048969524,1.492654308135753,
2.598298216750583,0.44977339593911053,1.5446202724707647,
2.580387986407928,0.481697956583089,1.5962280321989233,
2.562781442309914,0.5146476298039915,1.6474836610451216,
2.5455336985151567,0.5486155165043,1.6983943350154247,
2.5286936379276925,0.5835948806597795,1.7489682077739785,
2.5123030343006225,0.6195791660289793,1.799214268459991,
2.4963956362048845,0.6565620096526611,1.8491421811840887,
2.480996218039644,0.6945372517635587,1.8987621055448816,
2.466119606136463,0.733498941716911,1.9480844976676108,
2.4517696909160724,0.7734413395466296,1.9971198914859323,
2.437938439721088,0.8143589127522367,2.045878660280354,
2.424604927981777,0.8562463279290365,2.0943707588399896,
2.411734410317168,0.8990984368699632,2.142605447046333,
2.3992774555126717,0.9429102567930949,2.1905909961565864,
2.3871691728311495,0.9876769443853591,2.2383343796132094,
2.3753285586736173,1.0333937634010928,2.2858409507866817,
2.3636579942517555,1.0800560456145272,2.333114110671717,
2.3520429258498288,1.1276591449983013,2.3801549691887134,
2.3403517587000433,1.1761983850855555,2.4269620043627143,
1.9342217222030333,1.225511313861691,2.465646438806775,
-1.9786834729032865,1.2740327692486653,2.426072769348709,
-2.9564708910189808,1.3213716362792318,2.3669433515283296,
-2.9302000705720532,1.3675384232815695,2.3083393501168885,
-2.9061000336036757,1.4125427702704658,2.250217349444815,
-2.8839034576727984,1.456393555876293,2.192539280291359,
-2.863369389768433,1.499098993726213,2.1352718924959904,
-2.8442819658993868,1.540666718789773,2.0783862531780026,
-2.8264490511940243,1.5811038642328554,2.021857272154122,
-2.8097008202943807,1.6204171293478202,1.9656632557482345,
-2.793888298566438,1.6586128391433583,1.9097854897769058,
-2.778881884240758,1.6956969961852002,1.8542078520920906,
-2.7645698702202903,1.7316753252789538,1.7989164546876848,
-2.75085698216333,1.7665533115798422,1.7438993150444182,
-2.7376629473954583,1.8003362327017725,1.689146056096509,
-2.7249211067043033,1.833029185381021,1.634647633962423,
-2.7125770789012016,1.864637107228709,1.580396092384399,
-2.7005874858164414,1.8951647940820704,1.52638434266807,
-2.68891874360222,1.924616913437991,1.4726059677960257,
-2.677545924193714,1.952998014424234,1.4190550493121514,
-2.6664516896303114,1.9803125347346249,1.3657260155195452,
-2.655625300432485,2.006564804924843,1.3126135095108955,
-2.645061698020068,2.0317590504358525,1.2597122755504941,
-2.634760660620017,2.0558993916826145,1.2070170623380938,
-2.6247260309873233,2.0789898425169815,1.1545225417183473,
-2.614965013821946,2.1010343073458198,1.1022232414419084,
-2.6054875402563904,2.122036577158555,1.0501134906367806,
-2.5963056964545372,2.142000324692709,0.9981873767076899,
-2.587433212934359,2.160929098941689,0.9464387124490027,
-2.578885011102888,2.178826319186228,0.8948610122269449,
-2.5706768034265357,2.1956952687093962,0.8434474761584142,
-2.5628247432813334,2.211539088335252,0.7921909812927875,
-2.5553451208688793,2.2263607699127603,0.74108407887541,
-2.5482541012315783,2.240163149849776,0.6901189968507784,
-2.541567500541775,2.252948902786575,0.6392876468399429,
-2.53530059715108,2.2647205354845132,0.5885816348969213,
-2.529467973461047,2.2754803809930673,0.5379922754277003,
-2.524083385346426,2.2852305931474826,0.4875106077207718,
-2.5191596556276923,2.293973141439647,0.43712741460821797,
-2.5147085884444973,2.3017098062964334,0.386833242839328,
-2.5107409014783753,2.3084421747926287,0.3366184248097605,
-2.5072661733398336,2.314171636819488,0.28647310134296383,
-2.504292803408488,2.3188993817249837,0.23638724527479407,
-2.501827981851769,2.3226263954377386,0.1863506856377587,
-2.4998776679984775,2.3253534580832946,0.13635313227778914,
-2.498446574829944,2.3270811420989186,0.08638420078119026,
-2.497538158634707,2.3278098108510883,0.036433437608496114,
