Angle,X,Y,
90,1,1,
90.0876201079979,1,1,
90.35048043199164,1,1,
90.78858097198119,1,1,
91.40192172796655,1,1,
92.19050269994774,1,1,
93.15432388792475,1,1,
94.29338529189758,1,1,
95.60768691186621,1,1,
97.09722874783068,1,1,
98.76201079979096,1,1,
100.60203306774706,1,1,
102.61729555169899,1,1,
104.80779825164673,1,1,
107.17354116759029,1,1,
109.71452429952967,1,1,
112.43074764746487,1,1,
115.3222112113959,1,1,
118.38891499132274,1,1,
121.6308589872454,1,1,
125.04804319916389,1,1,
128.64046762707818,1,1,
132.4081322709883,1,1,
136.33105486020338,1,1,
140.15560943608847,1,1,
143.80492379597774,1,1,
147.2789979398712,1,1,
150.57783186776885,1,1,
153.70142557967065,1,1,
156.64977907557665,1,1,
159.42289235548685,1,1,
162.0207654194012,1,1,
164.44339826731974,1,1,
166.69079089924247,1,1,
168.76294331516937,1,1,
170.65985551510045,1,1,
172.3815274990357,1,1,
173.92795926697517,1,1,
175.29915081891875,1,1,
176.49510215486657,1,1,
177.51581327481856,1,1,
178.36128417877472,1,1,
179.03151486673505,1,1,
179.52650533869962,1,1,
179.8462555946683,1,1,
179.9907656346412,1,1,
