acceleration,position,velocity,
2.5,0,0,
1.251036930256494,0.0005004147721025977,0.025020738605129884,
2.502072377004824,0.002001658495007125,0.07506218614522636,
2.502067926601534,0.0045037293885522665,0.12510354467725704,
2.502060509809487,0.008006624486021203,0.17514475487344677,
2.5020501274615428,0.012510339634474756,0.22518575742267763,
2.502036780644749,0.018014869495186207,0.2752264930355726,
2.5020204708445153,0.024520207544235464,0.3252669024524629,
2.5020011997351044,0.032026346073178766,0.375306926447165,
2.5019789693948025,0.04053327618987999,0.42534650583506106,
2.5019537820894917,0.050040987819417,0.4753855814768509,
2.501925640341604,0.06054946970509066,0.525424094283683,
2.5018945469447105,0.0720587094095422,0.5754619852225772,
2.5018605048905296,0.08456869331594996,0.6254991953203878,
2.5018235173343726,0.09807940662929146,0.6755356656670752,
2.5017835876133985,0.11259083337767832,0.7255713374193432,
2.501740719211343,0.12810295641374972,0.7756061518035701,
2.5016949156970836,0.14461575741609994,0.8256400501175117,
2.5016461807429056,0.16212921689074733,0.8756729737323699,
2.501594518039768,0.18064331417261065,0.9257048640931652,
2.50153993131631,0.20015802742700048,0.9757356627194914,
2.5014824242690135,0.22067333365109792,1.0257653112048717,
2.5014220005603938,0.24218920867541952,1.0757937512160796,
2.501358663747766,0.2647056271652402,1.1258209244910349,
2.501292417261669,0.28822256262196555,1.1758467728362683,
2.501223264424446,0.3127399873844607,1.2258712381247572,
2.501151208306651,0.3382578726302785,1.2758942622908902,
2.5010762517806095,0.3647761883768086,1.3259157873265024,
2.5009983974681016,0.3922949034823259,1.3759357552758644,
2.5009176476920136,0.42081398564691996,1.4259541082297047,
2.500834004416308,0.4503334014132806,1.4759707883180309,
2.5007474693303444,0.48085311616737336,1.5259857377046377,
2.5006580436127135,0.5123730941389112,1.575998898576892,
2.500565728172466,0.5448932984017181,1.6260102131403413,
2.5004705233545588,0.5784136908738667,1.6760196236074325,
2.5003724291118523,0.6129342323176601,1.7260270721896696,
2.500271444882096,0.6484548823394063,1.7760325010873115,
2.5001675696304515,0.6849755993890047,1.8260358524799205,
2.5000608017866632,0.7224963407593177,1.8760370685156538,
2.4999511392306273,0.761017062585323,1.9260360913002663,
2.4998385793805977,0.8005377198430805,1.9760328628878783,
2.4997231190623137,0.841058266348463,2.0260273252691245,
2.4996047545773337,0.8825786547556764,2.076019420360671,
2.4994834817643197,0.9250988365555955,2.1260090899959576,
2.4993592958515665,0.9686187620738553,2.175996275912989,
2.499232191699252,1.0131383804687948,2.225980919746974,
2.4991021636274757,1.0586576397291854,2.2759629630195235,
2.498969205538515,1.1051764866717912,2.325942347130294,
2.49883331100913,1.1526948669388009,2.3759190133504764,
2.4986944732141136,1.2012127249950961,2.4258929028147587,
2.498552685091293,1.250730004125428,2.4758639565165845,
2.4984079393465697,1.3012466464314982,2.525832115303516,
2.4982602285678057,1.3527625928289957,2.575797319874872,
2.4981095452851987,1.4052777830446073,2.625759510780576,
2.4979558820704906,1.458792155613047,2.675718628421986,
2.4977992316525865,1.5133056478741478,2.7256746130550376,
2.4976395870424106,1.5688181959700656,2.7756274047958858,
2.497476941611798,1.6253297348426279,2.8255769436281217,
2.4973112893330818,1.6828401982309236,2.8755231694147834,
2.497142624803872,1.7413495186691408,2.925466021910861,
2.4969709435550103,1.80085762748478,2.975405440781961,
1.2466698298304824,1.8608644042323514,3.0003388373785707,
-0.0035156446501538596,1.9208697747220629,3.0002685244855676,
-0.003516160199890095,1.9808737387476942,3.0001982012815698,
-0.0035167070153496738,2.0408762960905196,3.000127867141263,
-0.0035172767482105627,2.1008774465226456,3.0000575216062986,
-0.003517861063473404,2.1608771898103463,2.999987164385029,
-0.0035184516272712685,2.2208755257173958,2.9999167953524837,
-0.0035190401330709165,2.2808724540083922,2.9998464145498223,
-0.0035196182051722147,2.340867974452107,2.999776022185719,
-0.003520177507176925,2.4008620868248185,2.9997056186355753,
-0.0035207097190737002,2.4608547909136425,2.999635204441194,
-0.0035212064750433925,2.5208460865198763,2.999564780311693,
-0.0035216594385545363,2.5808359734623347,2.999494347122922,
-0.003522060268790206,2.6408244515806856,2.999423905917546,
-0.0035224005951572934,2.7008115207387986,2.999353457905643,
-0.0035226720743519735,2.7607971808280816,2.999283004464156,
-0.0035228663642916658,2.820781431770819,2.99921254713687,
-0.003522975096381664,2.8807642735235177,2.9991420876349424,
-0.003522989891235895,2.94074570608026,2.9990716278371177,
-0.0035229024529126463,3.0007257294760215,2.9990011697880594,
-0.003522704345626515,3.0607043437900443,2.998930715701147,
-0.0035223872496104036,3.1206815491491673,2.9988602679561547,
-0.0035219427920063495,3.1806573457311735,2.9987898291003146,
-0.003521362589298249,3.240631733768144,2.9987194018485286,
-0.046722459294512575,3.3005874328213967,2.9977849526626383,
-1.6743597507749897,3.359873387974339,2.9642977576471385,
-2.502168118797643,3.4181584758797627,2.9142543952711857,
-2.501996050811739,3.475442765364862,2.864214474254951,
-2.501826880757241,3.531726324097658,2.814177936639806,
-2.50166062282986,3.587009218581322,2.764144724183209,
-2.5014972909095823,3.641291514148622,2.7141147783650172,
-2.501336898480999,3.69457327495653,2.6640880403953973,
-2.501179458568825,3.7468545639810107,2.6140644512240208,
-2.5010249834933163,3.798135443012094,2.5640439515541544,
-2.5008734850199943,3.848415972649169,2.5140264818537545,
-2.500724974071722,3.8976962122966152,2.46401198237232,
-2.500579460789809,3.945976220159746,2.414000393156524,
-2.5004369545174487,3.9932560532410695,2.363991654066175,
-2.500297463625034,4.039535767336943,2.3139857047936743,
-2.500160995574663,4.084815417034587,2.263982484882181,
