Angle,X,Y,
0,0,0,
0.00003728926290485611,0.0003999971712101859,1.3016490129234377e-10,
0.00014913911363549585,0.0015999886806145542,2.0824714416607594e-9,
0.0003354957382363576,0.003599974515537925,1.054110277693458e-8,
0.000596269446768901,0.006399954654866294,3.330885632136187e-8,
0.0009313346732927699,0.00999992906906378,8.130088197938067e-8,
0.0013405299758391233,0.014399897720196337,1.6853591567018105e-7,
0.001823658036377829,0.01959986056196227,3.121250081448469e-7,
0.0023804856607762574,0.025599817539729484,5.322577490963592e-7,
0.0030107437787496435,0.03239976859057958,8.521859865622358e-7,
0.0037141274438113013,0.03999971364335864,0.0000012982050416199134,
0.004490295833203993,0.048399652618734905,0.000001899632418374779,
0.005338872247837894,0.05759958542926304,0.0000026887840092411667,
0.006259444112215358,0.06759951197945545,0.0000037009477955155553,
0.007251562974350718,0.07839943216586014,0.0000049743550432430526,
0.008314744505682873,0.08999934587714539,0.0000065501489943764035,
0.009448468500990586,0.10239925299419138,0.000008472351053227486,
0.010652178878289158,0.11559915339018835,0.000010787824468211533,
0.011925283678739117,0.12959904693074167,0.000013546235508884986,
0.013267155066537485,0.14439893347398375,0.0000168000121382743,
0.014677129328812034,0.1599988128706926,0.000020604300180499186,
0.016154506875510163,0.17639868496441716,0.000025016916983687867,
0.01769855223928537,0.19359854959160958,0.00003009830257818451,
0.019308494075386675,0.21159840658176401,0.00003591146833005032,
0.02098352516153612,0.23039825575756245,0.000042521943089857085,
0.022722802397808575,0.2499980969350272,0.00004999771683677286,
0.02452544680652604,0.2703979299236802,0.00005840918181794117,
0.02639054353211225,0.2915977545267089,0.00006782907118315252,
0.028317141841004968,0.3135975705411394,0.00007833239511480824,
0.030304255121520234,0.3363973777580156,0.00008999637445317806,
0.03235086088373579,0.3599971759625859,0.00010290037181694958,
0.03445590075938057,0.3843969649344966,0.00011712582021907066,
0.036618280501709746,0.4095967444479911,0.0001327561491778844,
0.038836869985423,0.4355965142721175,0.00014987670832355732,
0.04111050320653001,0.4623962741709414,0.00016857468849980004,
0.043437978282261466,0.4899960239037664,0.0001889390403608793,
0.04581805745097062,0.5183957632253615,0.00021106039046392628,
0.04824946707202031,0.5475954918861943,0.00023503095485653347,
0.05073089762572769,0.5775952096326719,0.0002609444501596454,
0.05326100371327775,0.6083949162073885,0.00028889600214574676,
0.05583840405661515,0.6399946113493793,0.0003189820518123337,
0.05846168149839619,0.6723942947943816,0.0003513002589506883,
0.0611293830019359,0.7055939662751022,0.0003859494032099377,
0.06384001965114085,0.7395936255214921,0.00042302928265641054,
0.06659206665045617,0.7743932722610279,0.0004626406098282845,
0.06938396332485117,0.8099929062190002,0.000504884905285527,
0.07221411311974732,0.8463925271188069,0.0005498643886551267,
0.07508088360102298,0.8835921346822566,0.0005976818671716221,
0.07798260645501343,0.9215917286298762,0.000648440621712918,
0.08091757748847236,0.9603913086812258,0.0007022442903313988,
0.08388405662859606,0.9999908745552213,0.0007591967492803291,
0.08688026792303764,1.0403904259704624,0.0008194019915355537,
0.08990439953988794,1.0815899626455692,0.0008829640028124885,
0.09295460376781002,1.1235894842995227,0.0009499866350783956,
0.09602899701592872,1.1663889906520153,0.0010205734775599654,
0.09912565981403718,1.2099884814238058,0.0010948277252461822,
0.10224263681252971,1.2543879563370837,0.0011728520448864815,
0.10537793678252658,1.2995874151158358,0.0012547484384842081,
0.10852953261601835,1.3455868574862244,0.001340618104285359,
0.11169536132574077,1.39238628317697,0.0014305612952626194,
0.11487332404551139,1.4399856919197398,0.0015246771750947,
0.11806128603017164,1.4883850834495458,0.0016230636716409548,
0.12125707665578893,1.5375844575051476,0.0017258173279113037,
0.12445848941964682,1.5875838138294611,0.0018330331505314354,
0.12766328194048546,1.6383831521699777,0.0019448044557033146,
0.1308691759586073,1.6899824722791852,0.002061222712660975,
0.1340738573359635,1.7423817739150005,0.002182377384621604,
0.1372749760562982,1.7955810568412058,0.002308355767231929,
0.14047014622533122,1.8495803208278927,0.0024392428245098847,
0.14365694607082508,1.9043795656519125,0.0025751210222815842,
0.14683291794285447,1.9599787910973339,0.00271607015911357,
0.14999556831378671,2.016377996955907,0.002862167194740372,
0.15314236777857032,2.0735771830275365,0.0030134860759873463,
0.15627075105482147,2.131576349120754,0.003170097560188815,
0.15937811698294888,2.1903754950532113,0.0033320690361014955,
0.16246182852638455,2.2499746206521625,0.0034994643423132197,
0.16549918943027095,2.309973731710022,0.0036711881249328285,
0.16846927939388995,2.369972834256445,0.0038460573563048953,
0.17137209840559198,2.429971928482052,0.004024001591537072,
0.17420764645578443,2.4899710145774625,0.004204950385737009,
0.1769759235367586,2.5499700927332976,0.004388833294012356,
0.17967692964257437,2.6099691631401796,0.0045755798714707755,
0.18231066476892563,2.669968225988727,0.004765119673219908,
0.18487712891308264,2.729967281469561,0.004957382254367407,
0.18737632207379581,2.789966329773302,0.005152297170020928,
0.18980824425104598,2.849965371090571,0.005349793975288118,
0.1921728954460442,2.9099644056119884,0.005549802225276633,
0.1944702756613088,2.9699634335281746,0.005752251475094122,
0.19670038490016545,3.029962455029751,0.005957071279848241,
0.1988632231669587,3.0899614703073373,0.0061641911946466385,
0.2009587904668982,3.1499604795515537,0.006373540774596964,
0.2029870868059625,3.2099594829530216,0.006585049574806873,
0.20494811219070688,3.2699584807023614,0.006798647150384016,
0.2068418666283979,3.3299574729901935,0.007014263056436046,
0.2086683501266289,3.389956460007139,0.00723182684807061,
0.21042756269360846,3.449955441943818,0.00745126808039537,
0.2121195043377372,3.509954418990851,0.007672516308517965,
