Angle,X,Y,
40,10.5,5.3,
40.08762010799791,10.5,5.3,
40.35048043199164,10.5,5.3,
40.78858097198119,10.5,5.3,
41.40192172796655,10.5,5.3,
42.19050269994774,10.5,5.3,
43.15432388792475,10.5,5.3,
44.29338529189757,10.5,5.3,
45.60768691186622,10.5,5.3,
47.097228747830684,10.5,5.3,
48.762010799790964,10.5,5.3,
50.602033067747065,10.5,5.3,
52.61729555169899,10.5,5.3,
54.80779825164673,10.5,5.3,
57.17354116759029,10.5,5.3,
59.71452429952967,10.5,5.3,
62.43074764746487,10.5,5.3,
65.3222112113959,10.5,5.3,
68.38891499132274,10.5,5.3,
71.6308589872454,10.5,5.3,
75.04804319916389,10.5,5.3,
78.64046762707818,10.5,5.3,
82.4081322709883,10.5,5.3,
86.35103713089424,10.5,5.3,
90.469182206796,10.5,5.3,
94.76256749869356,10.5,5.3,
99.23119300658695,10.5,5.3,
103.87505873047617,10.5,5.3,
108.69416467036122,10.5,5.3,
113.68851082624207,10.5,5.3,
118.85809719811874,10.5,5.3,
124.20292378599123,10.5,5.3,
129.72299058985953,10.5,5.3,
135.25993018090622,10.5,5.3,
140.6220565144593,10.5,5.3,
145.80894263201657,10.5,5.3,
150.820588533578,10.5,5.3,
155.6569942191436,10.5,5.3,
160.3181596887134,10.5,5.3,
164.80408494228737,10.5,5.3,
169.11476997986554,10.5,5.3,
173.25021480144787,10.5,5.3,
177.21041940703438,10.5,5.3,
180.99538379662508,10.5,5.3,
184.60510797021993,10.5,5.3,
188.039591927819,10.5,5.3,
191.29883566942226,10.5,5.3,
194.38283919502967,10.5,5.3,
197.29160250464128,10.5,5.3,
200.02512559825706,10.5,5.3,
202.583408475877,10.5,5.3,
204.9664511375012,10.5,5.3,
207.1742535831295,10.5,5.3,
209.20681581276202,10.5,5.3,
211.0641378263987,10.5,5.3,
212.74621962403955,10.5,5.3,
214.25306120568462,10.5,5.3,
215.58466257133387,10.5,5.3,
216.74102372098727,10.5,5.3,
217.72214465464484,10.5,5.3,
218.52802537230664,10.5,5.3,
219.15866587397255,10.5,5.3,
219.6140661596427,10.5,5.3,
219.894226229317,10.5,5.3,
219.9991460829955,10.5,5.3,
