Angle,X,Y,
110,8.828,3.132,
110.01683390910806,8.82819310060737,3.1314697028185203,
110.0673794367739,8.828773102270592,3.129879797107948,
110.1517680925667,8.829742104707941,3.127233240644513,
110.27021941795327,8.83110360809975,3.123534963970703,
110.42304151406623,8.832862514063201,3.1187918717684093,
110.61063175906793,8.835025127017039,3.1130128447813448,
110.83347769243053,8.837599155936202,3.106208742286714,
111.09215803528207,8.840593716496393,3.0983924051161473,
111.38734380646314,8.844019333608532,3.089578659225898,
111.71979948276805,8.84788794434316,3.0797843198162935,
112.09038413862159,8.852212901244746,3.069028196000455,
112.50005248474524,8.857008976035914,3.0573310960222724,
112.94985570679323,8.862292363711594,3.0447158330236417,
113.44094198299882,8.868080687023086,3.0312072313609644,
113.97455653413756,8.874393001352054,3.0168321334709045,
114.55204102915403,8.881249799974414,3.0016194072854097,
115.17483213524075,8.888673019714178,2.9855999541959912,
115.84445896179953,8.896686046987181,2.968806717567264,
116.56253910351529,8.905313724234748,2.95127469179975,
117.33077293908701,8.914582356747275,2.933040931941938,
118.15093578978819,8.924519719877727,2.9141445638516097,
119.0248674875054,8.935155066645052,2.8946267949064213,
119.9544588476838,8.946519135727526,2.874530925263749,
120.94163449242255,8.958644159846003,2.8539023596697946,
121.98833142808667,8.971563874537084,2.83278861981795,
123.09647275747001,8.98531352731623,2.811239357256426,
124.2679359081753,8.999929887230744,2.7893063668451363,
125.5045147983242,9.015451254802734,2.7670436007618493,
126.8078754521457,9.031917472361938,2.7445071830575953,
128.17950473748928,9.049369934768507,2.7217554247613354,
129.62065214177608,9.067851600525685,2.6988488395338917,
131.13226484815974,9.087407003282426,2.6758501598711395,
132.71491683165468,9.108082263725901,2.6528243538564573,
134.3687332696276,9.129925101863963,2.629838642462441,
136.09331224340434,9.152984849697493,2.6069625174018745,
137.8876464703983,9.177312464282696,2.584267759527965,
139.75004859830685,9.202960541183291,2.561828457783838,
141.67808433713827,9.229983328312636,2.5397210287012912,
143.66851829808394,9.258436740165767,2.51802423644881,
145.6944391361163,9.28804064315455,2.497049538265639,
147.6759125341034,9.317690901929877,2.477562892443789,
149.60238799928806,9.347248278932776,2.459550026545469,
151.46994476849738,9.376659600094397,2.442936036714073,
153.27541375531703,9.405872949360885,2.4276477912006666,
155.01634991511793,9.434837682798051,2.4136139502325653,
156.69098844918432,9.463504442306101,2.4007649853326565,
158.2981891363958,9.49182516894446,2.389033198089459,
159.83737289676597,9.51975311586668,2.378352738377923,
161.30845426767402,9.547242860865405,2.3686596220309637,
162.71177290560905,9.574250318527458,2.359891747961747,
164.0480265970466,9.600732751998972,2.3519889147366966,
165.31820763709734,9.626648784360617,2.344892836599259,
166.52354385955894,9.651958409612908,2.3385471589443925,
167.66544510414883,9.676623003271597,2.332897473243805,
168.74545549821755,9.700605332573144,2.327891331421928,
169.76521161187804,9.723869566290254,2.323478259682627,
170.72640631073077,9.74638128415753,2.3196097717866593,
171.63075796830026,9.768107485907167,2.3162393817798597,
172.47998459838178,9.789016599914756,2.3133226161720764,
173.27578241302407,9.80907849145516,2.3108170255668394,
174.01980829324708,9.828264470568463,2.3086821957417696,
174.71366566672305,9.846547299536017,2.306879758179731,
175.35889331123548,9.863901199966552,2.3053734000507133,
175.95695663823267,9.880301859492379,2.304128873644466,
176.5092410522209,9.895726438075677,2.3031140052538612,
177.01704702543282,9.910153573924843,2.302298703509,
177.481586570645,9.923563389020945,2.30165496716206,
177.90398083650751,9.935937494254244,2.3011568923228776,
178.28525858824077,9.947258994170797,2.3007806791452747,
178.6263553715636,9.957512491329144,2.30050463796412,
178.92811318898612,9.96668409026708,2.3003091948831313,
179.19128054522005,9.9747614010785,2.300176896813421,
179.41651274261477,9.981733542600328,2.300092415962771,
179.60437232848784,9.987591145209532,2.3000425537756612,
179.75532961438205,9.992326353230213,2.3000162443240217,
179.86976320296165,9.99593282695078,2.3000045571487364,
179.94796047186802,9.998405744251203,2.300000699551881,
179.99011797575457,9.999741801840354,2.3000000183396994,
